epoch=001 loss_d=0.6926 loss_g=0.6925 d_real=0.5012 d_fake=0.5004
epoch=002 loss_d=0.6919 loss_g=0.6727 d_real=0.5179 d_fake=0.5125
epoch=003 loss_d=0.6939 loss_g=0.7333 d_real=0.4752 d_fake=0.4781
epoch=004 loss_d=0.6853 loss_g=0.6881 d_real=0.5115 d_fake=0.5000
epoch=005 loss_d=0.6938 loss_g=0.6548 d_real=0.5349 d_fake=0.5237
epoch=006 loss_d=0.6835 loss_g=0.6673 d_real=0.5458 d_fake=0.5188
epoch=007 loss_d=0.6986 loss_g=0.6827 d_real=0.5129 d_fake=0.5125
epoch=008 loss_d=0.6895 loss_g=0.7296 d_real=0.4823 d_fake=0.4798
epoch=009 loss_d=0.6832 loss_g=0.6898 d_real=0.5188 d_fake=0.5001
epoch=010 loss_d=0.6726 loss_g=0.7614 d_real=0.5007 d_fake=0.4665
epoch=011 loss_d=0.6536 loss_g=0.7729 d_real=0.5412 d_fake=0.4679
epoch=012 loss_d=0.6486 loss_g=0.7827 d_real=0.6007 d_fake=0.4866
epoch=013 loss_d=0.6999 loss_g=0.8072 d_real=0.5933 d_fake=0.4939
epoch=014 loss_d=0.6214 loss_g=0.9514 d_real=0.4676 d_fake=0.3745
epoch=015 loss_d=0.5540 loss_g=0.9312 d_real=0.6765 d_fake=0.4056
epoch=016 loss_d=0.5731 loss_g=0.8667 d_real=0.6738 d_fake=0.4503
epoch=017 loss_d=0.4373 loss_g=1.1086 d_real=0.7453 d_fake=0.3065
epoch=018 loss_d=0.5169 loss_g=1.4243 d_real=0.8094 d_fake=0.3064
epoch=019 loss_d=0.5259 loss_g=0.9046 d_real=0.7453 d_fake=0.4335
epoch=020 loss_d=0.5216 loss_g=1.4225 d_real=0.6478 d_fake=0.3041
