epoch=021 loss_d=0.4429 loss_g=1.1950 d_real=0.7625 d_fake=0.3203
epoch=022 loss_d=0.5560 loss_g=1.0537 d_real=0.7028 d_fake=0.3614
epoch=023 loss_d=0.6983 loss_g=0.7837 d_real=0.5974 d_fake=0.4972
epoch=024 loss_d=0.6686 loss_g=0.7372 d_real=0.5684 d_fake=0.4807
epoch=025 loss_d=0.7124 loss_g=0.7908 d_real=0.5042 d_fake=0.4693
epoch=026 loss_d=0.7042 loss_g=0.7625 d_real=0.4874 d_fake=0.4710
epoch=027 loss_d=0.6706 loss_g=0.7234 d_real=0.5049 d_fake=0.4711
epoch=028 loss_d=0.6449 loss_g=0.7995 d_real=0.5180 d_fake=0.4518
epoch=029 loss_d=0.6746 loss_g=0.7461 d_real=0.5254 d_fake=0.4832
epoch=030 loss_d=0.6612 loss_g=0.7651 d_real=0.5191 d_fake=0.4658
epoch=031 loss_d=0.6465 loss_g=0.7547 d_real=0.5299 d_fake=0.4561
epoch=032 loss_d=0.6140 loss_g=0.7920 d_real=0.5437 d_fake=0.4265
epoch=033 loss_d=0.5823 loss_g=0.8892 d_real=0.5964 d_fake=0.4015
epoch=034 loss_d=0.6407 loss_g=0.8820 d_real=0.5488 d_fake=0.4322
epoch=035 loss_d=0.5964 loss_g=0.9127 d_real=0.5520 d_fake=0.3994
epoch=036 loss_d=0.5455 loss_g=1.0228 d_real=0.5918 d_fake=0.3629
epoch=037 loss_d=0.5780 loss_g=0.9683 d_real=0.6137 d_fake=0.3856
epoch=038 loss_d=0.5120 loss_g=1.2906 d_real=0.6576 d_fake=0.3136
epoch=039 loss_d=0.4971 loss_g=1.2149 d_real=0.7121 d_fake=0.3392
epoch=040 loss_d=0.4917 loss_g=1.2814 d_real=0.6641 d_fake=0.3010
epoch=041 loss_d=0.5124 loss_g=1.2003 d_real=0.6584 d_fake=0.3151
epoch=042 loss_d=0.4994 loss_g=1.2836 d_real=0.6808 d_fake=0.3155
epoch=043 loss_d=0.4767 loss_g=1.1749 d_real=0.7119 d_fake=0.3072
epoch=044 loss_d=0.5016 loss_g=1.1825 d_real=0.7017 d_fake=0.3370
epoch=045 loss_d=0.4741 loss_g=1.3796 d_real=0.7170 d_fake=0.2949
epoch=046 loss_d=0.5159 loss_g=1.3393 d_real=0.7551 d_fake=0.3060
epoch=047 loss_d=0.5116 loss_g=1.3131 d_real=0.7094 d_fake=0.3054
epoch=048 loss_d=0.4196 loss_g=1.1966 d_real=0.7739 d_fake=0.2816
epoch=049 loss_d=0.3937 loss_g=1.5310 d_real=0.7812 d_fake=0.2215
epoch=050 loss_d=0.3801 loss_g=1.5691 d_real=0.8385 d_fake=0.2457
epoch=051 loss_d=0.4242 loss_g=1.6484 d_real=0.7903 d_fake=0.2449
