epoch=001 loss_d=0.6930 loss_g=0.6924 d_real=0.5008 d_fake=0.5005
epoch=002 loss_d=0.6933 loss_g=0.6920 d_real=0.5009 d_fake=0.5008
epoch=003 loss_d=0.6932 loss_g=0.6935 d_real=0.4997 d_fake=0.4998
epoch=004 loss_d=0.6929 loss_g=0.6946 d_real=0.4998 d_fake=0.4996
epoch=005 loss_d=0.6939 loss_g=0.6903 d_real=0.5013 d_fake=0.5017
epoch=006 loss_d=0.6942 loss_g=0.7053 d_real=0.4897 d_fake=0.4926
epoch=007 loss_d=0.6898 loss_g=0.6992 d_real=0.4998 d_fake=0.4965
epoch=008 loss_d=0.6553 loss_g=0.7367 d_real=0.5184 d_fake=0.4720
epoch=009 loss_d=0.6850 loss_g=0.7781 d_real=0.5889 d_fake=0.4965
epoch=010 loss_d=0.6765 loss_g=0.8870 d_real=0.6312 d_fake=0.4892
epoch=011 loss_d=0.6375 loss_g=0.7622 d_real=0.5112 d_fake=0.4410
epoch=012 loss_d=0.5803 loss_g=0.8986 d_real=0.5699 d_fake=0.4185
epoch=013 loss_d=0.6248 loss_g=0.7680 d_real=0.6714 d_fake=0.5026
epoch=014 loss_d=0.5382 loss_g=0.8575 d_real=0.6589 d_fake=0.4212
epoch=015 loss_d=0.4882 loss_g=1.0656 d_real=0.7603 d_fake=0.3740
epoch=016 loss_d=0.3790 loss_g=1.4184 d_real=0.8201 d_fake=0.2593
epoch=017 loss_d=0.5683 loss_g=1.2016 d_real=0.7557 d_fake=0.4004
epoch=018 loss_d=0.4419 loss_g=1.1678 d_real=0.7423 d_fake=0.3267
epoch=019 loss_d=0.5736 loss_g=0.9684 d_real=0.7430 d_fake=0.4328
epoch=020 loss_d=0.6706 loss_g=0.9770 d_real=0.5701 d_fake=0.3804
epoch=021 loss_d=0.6204 loss_g=1.6673 d_real=0.6317 d_fake=0.3725
epoch=022 loss_d=0.6254 loss_g=1.0462 d_real=0.6040 d_fake=0.4111
epoch=023 loss_d=0.4423 loss_g=1.2919 d_real=0.6777 d_fake=0.2853
epoch=024 loss_d=0.4678 loss_g=1.2690 d_real=0.7380 d_fake=0.3232
epoch=025 loss_d=0.4613 loss_g=1.2047 d_real=0.7824 d_fake=0.3277
epoch=026 loss_d=0.4342 loss_g=1.2520 d_real=0.7974 d_fake=0.2976
epoch=027 loss_d=0.3616 loss_g=1.6223 d_real=0.8206 d_fake=0.2086
epoch=028 loss_d=0.4008 loss_g=1.6792 d_real=0.8293 d_fake=0.2338
epoch=029 loss_d=0.3760 loss_g=1.5662 d_real=0.7973 d_fake=0.2275
epoch=030 loss_d=0.4908 loss_g=1.5363 d_real=0.7694 d_fake=0.2955
epoch=031 loss_d=0.5773 loss_g=1.0057 d_real=0.7801 d_fake=0.3993
epoch=032 loss_d=0.6047 loss_g=1.0610 d_real=0.6739 d_fake=0.4094
epoch=033 loss_d=0.5614 loss_g=0.9740 d_real=0.6344 d_fake=0.3847
epoch=034 loss_d=0.5659 loss_g=0.9279 d_real=0.6957 d_fake=0.4046
epoch=035 loss_d=0.6317 loss_g=0.8252 d_real=0.6711 d_fake=0.4688
epoch=036 loss_d=0.5719 loss_g=0.9454 d_real=0.6235 d_fake=0.3836
epoch=037 loss_d=0.6539 loss_g=0.9813 d_real=0.5991 d_fake=0.4517
epoch=038 loss_d=0.6125 loss_g=0.8360 d_real=0.6310 d_fake=0.4581
epoch=039 loss_d=0.5954 loss_g=0.8401 d_real=0.6419 d_fake=0.4422
epoch=040 loss_d=0.5703 loss_g=0.8800 d_real=0.6144 d_fake=0.4032
epoch=041 loss_d=0.5240 loss_g=1.0953 d_real=0.6623 d_fake=0.3668
epoch=042 loss_d=0.6114 loss_g=0.9892 d_real=0.6305 d_fake=0.4036
epoch=043 loss_d=0.6032 loss_g=0.8916 d_real=0.5818 d_fake=0.4098
epoch=044 loss_d=0.5843 loss_g=1.0260 d_real=0.5985 d_fake=0.3904
epoch=045 loss_d=0.6059 loss_g=0.9192 d_real=0.5979 d_fake=0.4136
epoch=046 loss_d=0.5408 loss_g=1.0116 d_real=0.6579 d_fake=0.3889
epoch=047 loss_d=0.5739 loss_g=1.0142 d_real=0.6322 d_fake=0.3795
epoch=048 loss_d=0.4795 loss_g=1.3256 d_real=0.6956 d_fake=0.3063
epoch=049 loss_d=0.6016 loss_g=1.0608 d_real=0.6681 d_fake=0.4011
epoch=050 loss_d=0.5722 loss_g=1.0832 d_real=0.6218 d_fake=0.3724
epoch=051 loss_d=0.5763 loss_g=1.0054 d_real=0.6293 d_fake=0.3892
epoch=052 loss_d=0.5682 loss_g=1.0491 d_real=0.6366 d_fake=0.3570
epoch=053 loss_d=0.5354 loss_g=1.0926 d_real=0.6711 d_fake=0.3821
epoch=054 loss_d=0.5251 loss_g=1.1788 d_real=0.6300 d_fake=0.3511
epoch=055 loss_d=0.4978 loss_g=1.1154 d_real=0.6773 d_fake=0.3494
